Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003078,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Work of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,Pressure–volume work:  Elastic work + resistive work ,Organ,Lung,lung,UBERON:0002048,"Airway smooth muscle, Lung",smooth muscle cell,CL:0000192,,does,X performing Y,Respiration,elastic and resistive work,,Pressure–volume work, Elastic work + resistive work ,Work of breathing,,Intra-organ,Seconds–minutes,P–V loop,,,O₂cost of breathing,,,,,,,,,Breathing pattern adapts to _work,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-68,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003078,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Work of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,Pressure–volume work:  Area on P–V loop = work done,Organ,Lung,lung,UBERON:0002048,"Airway smooth muscle, Lung",smooth muscle cell,CL:0000192,,does,X equivalence to Y,area on pressure–volume loop,mechanical work done,,Pressure–volume work, Area on P–V loop = work done,Work of breathing,,Intra-organ,Seconds–minutes,P–V loop,,,O₂cost of breathing,,,,,,,,,Breathing pattern adapts to _work,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-68,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003079,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Positive pressure ventilation,,,,,,,,,,,,,,,,Artificial driving pressure:  Raises Pmouth > Palv → insp flow ,Organ,Airway,respiratory airway,UBERON:0001005,"Airway smooth muscle, Lung",smooth muscle cell of trachea,CL:0002600,mouth pressure and alveolar pressure difference,does,X transport to Y,air,lung,L·s⁻¹,Artificial driving pressure, Raises Pmouth > Palv → insp flow ,Positive pressure ventilation,intra-organ,Intra-organ,Seconds,P–V waveforms,,,Tidal Pressure,,,,,,,,,Same mechanics principles apply,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-69,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003079,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Respiratory muscle contraction,muscle contraction,GO:0006936,Positive pressure ventilation,,,,,,,,,,,,,,,,Artificial driving pressure:  Affected by C and Raw as usual,Organ,Airways,respiratory airway,UBERON:0001005,"Airway smooth muscle cells, Lung",smooth muscle cell of trachea,CL:0002600,,does,X influence by Y,Ventilatory work ,lung compliance and airway resistance,,Artificial driving pressure, Affected by C and Raw as usual,Positive pressure ventilation,,Intra-organ,Seconds,P–V waveforms,,,Tidal Pressure,,,,,,,,,Same mechanics principles apply,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-69,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003080,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002087,Generate respiratory rhythm,rhythmic process,GO:0048511,,,,,,,,,,,,,,Central pattern generation in medulla and pons: Pre-Bötzinger complex in the neural network generates breath rhythm,Organ system,"Lung, Central nerve",lung,UBERON:0002048,"Neuronal network (pons/medulla), Lung",pons,UBERON:0000988,,does,X generation,breath rhythm,,breaths·min⁻¹,Central pattern generation in medulla and pons,Pre-Bötzinger complex in the neural network generates breath rhythm,Generate respiratory rhythm,,Sytemic,Seconds,Respiratory rate,Respiratory rate,9279-1,rhythm regularity,,,,,,,,,Negative feedback via CO₂ / pH,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-70,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003080,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002087,Generate respiratory rhythm,rhythmic process,GO:0048511,,,,,,,,,,,,,,Central pattern generation in medulla and pons:  Dorsal group (inspiration),Organ system,"Lung, Central nerve",lung,UBERON:0002048,"Neuronal network (pons/medulla), Lung",pons,UBERON:0000988,,regulates,X transport to Y,air,lung,L·s⁻¹,Central pattern generation in medulla and pons, Dorsal group (inspiration),Generate respiratory rhythm,,Sytemic,Seconds,Respiratory rate,Respiratory rate,9279-1,rhythm regularity,,,,,,,,,Negative feedback via CO₂ / pH,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-70,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003080,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002087,Generate respiratory rhythm,rhythmic process,GO:0048511,,,,,,,,,,,,,,Central pattern generation in medulla and pons:  Ventral group (expiration),Organ system,"Lung, Central nerve",lung,UBERON:0002048,"Neuronal network (pons/medulla), Lung",pons,UBERON:0000988,,regulates,X transport to Y,air,lung,L·s⁻¹,Central pattern generation in medulla and pons, Ventral group (expiration),Generate respiratory rhythm,,Sytemic,Seconds,Respiratory rate,Respiratory rate,9279-1,rhythm regularity,,,,,,,,,Negative feedback via CO₂ / pH,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-70,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003081,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002088,Modulate rhythm duration,rhythmic process,GO:0048511,,,,,,,,,,,,,,Pneumotaxic and apneustic centers:  Apneustic: prolongs inspiration,Organ system,"Pons, Lung",pons,UBERON:0000988,"Neural circuits, Lung",pons,UBERON:0000988,,does,X prolongation of Y,apneustic center,inspiration prolongation,s,Pneumotaxic and apneustic centers, Apneustic: prolongs inspiration,Modulate rhythm duration,,Sytemic,Seconds,Inspiratory time,Inspiratory time percent,75932-4,frequency,Frequency of feeling alone,100949-7,,,,,,,Reciprocal inhibition to medulla,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-71,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003081,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002088,Modulate rhythm duration,rhythmic process,GO:0048511,,,,,,,,,,,,,,Pneumotaxic and apneustic centers:  Pneumotaxic: switches off inspiration,Organ system,"Pons, Lung",pons,UBERON:0000988,"Neural circuits, Lung",pons,UBERON:0000988,,does,X inhibition of Y,pneumotaxic center,inspiration termination,s,Pneumotaxic and apneustic centers, Pneumotaxic: switches off inspiration,Modulate rhythm duration,,Sytemic,Seconds,Inspiratory time,Inspiratory time percent,75932-4,frequency,Frequency of feeling alone,100949-7,,,,,,,Reciprocal inhibition to medulla,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-71,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003081,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002088,Modulate rhythm duration,rhythmic process,GO:0048511,,,,,,,,,,,,,,Pneumotaxic and apneustic centers:  Fine-tunes ramp pattern,Organ system,"Pons, Lung",pons,UBERON:0000988,"Neural circuits, Lung",pons,UBERON:0000988,,does,X adjustment,ramp-like inspiratory pattern,,(L·s⁻¹)/s,Pneumotaxic and apneustic centers, Fine-tunes ramp pattern,Modulate rhythm duration,,Sytemic,Seconds,Inspiratory time,Inspiratory time percent,75932-4,frequency,Frequency of feeling alone,100949-7,,,,,,,Reciprocal inhibition to medulla,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-71,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003082,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002089,Voluntary control of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,Cortical override of brainstem centers:  Motor cortex signals to spinal respiratory neurons,Cell,Lung,lung,UBERON:0002048,Cortical pyramidal neurons,central nervous system neuron,CL:2000029,,does,X signals to Y,motor cortex,spinal respiratory neurons,,Cortical override of brainstem centers, Motor cortex signals to spinal respiratory neurons,Voluntary control of breathing,,Cellular,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Acidity Level (Hydrogen Ion Concentration),,,,,,,,,Overrides automatic center,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-72,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003082,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002089,Voluntary control of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,"Cortical override of brainstem centers:  Voluntary hyperventilation ↓ PCO₂, ↑ pH",Organ system,Lung,lung,UBERON:0002048,"Cerebral cortex, Lung",cerebral cortex,UBERON:0000956,Voluntary control,does,X decrease,PCO₂ ,,mmHg,Cortical override of brainstem centers," Voluntary hyperventilation ↓ PCO₂, ↑ pH",Voluntary control of breathing,Systemic,Sytemic,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Acidity Level (Hydrogen Ion Concentration),,,,,,,,,Overrides automatic center,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-72,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003082,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002089,Voluntary control of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,"Cortical override of brainstem centers:  Voluntary hyperventilation ↓ PCO₂, ↑ pH",Organ system,Lung,lung,UBERON:0002048,"Cerebral cortex, Lung",cerebral cortex,UBERON:0000956,Voluntary control,does,X increase,pH,,,Cortical override of brainstem centers," Voluntary hyperventilation ↓ PCO₂, ↑ pH",Voluntary control of breathing,Systemic,Sytemic,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Acidity Level (Hydrogen Ion Concentration),,,,,,,,,Overrides automatic center,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-72,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003082,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002089,Voluntary control of breathing,respiratory gaseous exchange by respiratory system,GO:0007585,,,,,,,,,,,,,,Cortical override of brainstem centers:  Breath-hold limited by rising PCO₂,Organ system,Lung,lung,UBERON:0002048,"Cerebral cortex, Lung",cerebral cortex,UBERON:0000956,Breath-hold ,does,X increase,,,mmHg,Cortical override of brainstem centers, Breath-hold limited by rising PCO₂,Voluntary control of breathing,Systemic,Sytemic,Seconds–minutes,Partial Pressure of Carbon Dioxide,,,Acidity Level (Hydrogen Ion Concentration),,,,,,,,,Overrides automatic center,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-72,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003083,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002090,Emotional modulation,,,,,,,,,,,,,,,,Limbic & hypothalamic input:  Fear/rage → pattern change,Organ system,Lung,lung,UBERON:0002048,"Limbic system, hypothalamus, Lung",hypothalamus,UBERON:0001898,Fear/rage,does,X change,breathing pattern change,,,Limbic & hypothalamic input, Fear/rage → pattern change,Emotional modulation,Systemic,Sytemic,Seconds,Respiratory pattern,,,,,,,,,,,,Central–autonomic link,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-73,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003083,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002090,Emotional modulation,,,,,,,,,,,,,,,,Limbic & hypothalamic input:  Pain → apnea → hyperventilation,Organ system,Lung,lung,UBERON:0002048,"Limbic system, hypothalamus, Lung",hypothalamus,UBERON:0001898,pain,does,X transition to Y,apnea,hyperventilation,s,Limbic & hypothalamic input, Pain → apnea → hyperventilation,Emotional modulation,Systemic,Sytemic,Seconds,Respiratory pattern,,,,,,,,,,,,Central–autonomic link,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-73,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003083,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002090,Emotional modulation,,,,,,,,,,,,,,,,Limbic & hypothalamic input:  Temperature ↑ → hyperpnea,Organ system,Lung,lung,UBERON:0002048,"Limbic system, hypothalamus, Lung",hypothalamus,UBERON:0001898,temperature,increases,X process,respiration rate,,breaths·min⁻¹,Limbic & hypothalamic input, Temperature ↑ → hyperpnea,Emotional modulation,Systemic,Sytemic,Seconds,Respiratory pattern,,,,,,,,,,,,Central–autonomic link,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-73,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003084,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002091,Coordinate respiratory muscles,respiratory chemosensitivity,GO:0160061,,,,,,,,,,,,,,"Brainstem efferent integration:  Diaphragm, intercostals, accessory, upper airway muscles",Organ system,Lung,lung,UBERON:0002048,"Motor neurons, Lung",spinal cord,UBERON:0002240,,does,X transport to Y,air,lung,L·min⁻¹,Brainstem efferent integration," Diaphragm, intercostals, accessory, upper airway muscles",Coordinate respiratory muscles,,Sytemic,Seconds,Electromyography,Electromyography panel,98716-4,,,,,,,,,,Synchronization with vagal feedback,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-74,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003084,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002091,Coordinate respiratory muscles,respiratory chemosensitivity,GO:0160061,,,,,,,,,,,,,,Brainstem efferent integration:  Sleep → tone ↓ → obstruction risk,Organ system,Lung,lung,UBERON:0002048,"Motor neurons, Lung",spinal cord,UBERON:0002240,sleep,decreases,X regulation,respiratory muscle tone ,,,Brainstem efferent integration, Sleep → tone ↓ → obstruction risk,Coordinate respiratory muscles,Systemic,Sytemic,Seconds,Electromyography,Electromyography panel,98716-4,,,,,,,,,,Synchronization with vagal feedback,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-74,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003085,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002092,CO₂ chemoreception,carbon monoxide binding,GO:0070025,,,,,,,,,,,,,,Central chemoreceptors: Central chemoreceptors located ventral medulla,Organ system,Lung,lung,UBERON:0002048,"Ventral medulla, Lung",ventral rhombencephalic commissure medulla oblongata,UBERON:2000985,,does,X sensation from,CO₂,CSF [H⁺] sensation,Hz,Central chemoreceptors,Central chemoreceptors located ventral medulla,CO₂ chemoreception,,Sytemic,Seconds–hours,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Blood–brain barrier diffusion,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-75,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003086,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002093,O₂ and pH sensing,quorum sensing,GO:0009372,,,,,,,,,,,,,,"Peripheral chemoreceptors: Peripheral chemoreceptors located in carotid/aortic bodies Respond to ↓PO₂, ↑PCO₂, ↓pH",Cell,Lung,lung,UBERON:0002048,Glomus (type I) cells,type I cell of carotid body,CL:0002292,,does,X response,"peripheral PO₂, PCO₂, pH",,(L·min⁻¹)/mmHg etc.,Peripheral chemoreceptors,"Peripheral chemoreceptors located in carotid/aortic bodies Respond to ↓PO₂, ↑PCO₂, ↓pH",O₂ and pH sensing,,Molecular,Seconds,Hypoxic ventilatory response,,,,,,,,,,,,Potentiation by CO₂,,, H⁺,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-76,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003086,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002093,O₂ and pH sensing,quorum sensing,GO:0009372,,,,,,,,,,,,,,Peripheral chemoreceptors:  Glomus cells (dopaminergic) → afferent firing,Cell,Lung,lung,UBERON:0002048,Glomus (type I) cells,type I cell of carotid body,CL:0002292,"↓PO₂, ↑PCO₂, ↓pH",does,X leads to Y,afferent firing,dopamine ,mol·s⁻¹,Peripheral chemoreceptors, Glomus cells (dopaminergic) → afferent firing,O₂ and pH sensing,circulatory,Cellular,Seconds,Hypoxic ventilatory response,,,,,,,,,,,,Potentiation by CO₂,,, H⁺,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-76,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003087,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002094,Airway feedback,,,,,,,,,,,,,,,,Pulmonary stretch receptors:  Hering–Breuer reflex: inflation → inhibit inspiration,Organ ,Airways,respiratory airway,UBERON:0001005,"Myelinated vagal afferents, airway epithelial tissue",vagal neural crest cell,CL:0011017,Lung inflation,decreases,X transport to Y,air,lung,L·s⁻¹,Pulmonary stretch receptors, Hering–Breuer reflex: inflation → inhibit inspiration,Airway feedback,intra-organ,Intra-organ,Seconds,Tidal volume,Tidal volume.inspired,76221-1,,,,,,,,,,Feedback to medullary centers,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-77,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003087,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002094,Airway feedback,,,,,,,,,,,,,,,,Pulmonary stretch receptors:  Deflation → excite inspiration,Organ ,Airways,respiratory airway,UBERON:0001005,"Myelinated vagal afferents, airway epithelial tissue",vagal neural crest cell,CL:0011017,Lung deflation,increases,X transport to Y,air,lung,L·s⁻¹,Pulmonary stretch receptors, Deflation → excite inspiration,Airway feedback,intra-organ,Intra-organ,Seconds,Tidal volume,Tidal volume.inspired,76221-1,,,,,,,,,,Feedback to medullary centers,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-77,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003088,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002095,Irritant sensing,quorum sensing,GO:0009372,,,,,,,,,,,,,,"Irritant (rapidly adapting) receptors:  Trigger cough, bronchoconstriction",Organ ,Airways,respiratory airway,UBERON:0001005,"Myelinated vagal afferents, airway epithelial tissue",vagal neural crest cell,CL:0011017,"smoke, gas, cold air",increases,X leads to Y,Irritant receptors activation,cough and bronchoconstriction,,Irritant (rapidly adapting) receptors," Trigger cough, bronchoconstriction",Irritant sensing,Systemic,Sytemic,Seconds,Cough reflex,,,airway resistance,Airway resistance,75946-4,,,,,,,Histamine-mediated bronchospasm,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-78,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003089,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002096,Interstitial monitoring,interstitial matrix,GO:0005614,,,,,,,,,,,,,,J receptors (juxtacapillary):  In alveolar walls near capillaries,Tissue,Lung,lung,UBERON:0002048,C-fibers,lung connective tissue,"
UBERON:0000114",edema/engorgement,increases,X leads to Y,J receptors,rapid shallow breathing,"breaths·min⁻¹, L",J receptors (juxtacapillary), In alveolar walls near capillaries,Interstitial monitoring,intra-organ,Segmental (intra-organ),Seconds,Breathing pattern,Breathing patterns,101970-2,,,,,,,,,,Vagus afferent reflex,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-79,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003090,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002097,Somatic feedback,,,,,,,,,,,,,,,,Muscle & joint receptors:  Movement → stimulate ventilation,Tissue,Lung,lung,UBERON:0002048,Muscle spindles,skeletal muscle tissue,UBERON:0001134,movement,increases,X transport to Y,air,lung,L·min⁻¹,Muscle & joint receptors, Movement → stimulate ventilation,Somatic feedback,Systemic,Systemic,Seconds,Exercise hyperpnea,,,,,,,,,,,,Integration with motor cortex,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-80,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003090,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002097,Somatic feedback,,,,,,,,,,,,,,,,Muscle & joint receptors:  Gamma system senses muscle effort,Tissue,Lung,lung,UBERON:0002048,Muscle spindles,skeletal muscle tissue,UBERON:0001134,,does,X leads to Y,movement Muscle effort sensation,respiratory muscle regulation ,,Muscle & joint receptors, Gamma system senses muscle effort,Somatic feedback,,Segmental (intra-organ),Seconds,Exercise hyperpnea,,,,,,,,,,,,Integration with motor cortex,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-80,8,,,,,,,,,
respiratory system process,respiratory system process,GO:0003093,Control of Ventilation,regulation of respiratory gaseous exchange,GO:0043576,Neural control,regulation of respiratory gaseous exchange by nervous system process,GO:0002097,Sleep modulation,sleep,GO:0030431,,,,,,,,,,,,,,Ventilatory control during sleep: voluntary control of breathing is lost during sleep,Organ system,"Lung, Central nerve",lung,UBERON:0002048,"Medulla oblongata, pons, Lung",brainstem,UBERON:0002298,sleep,decreases,X process,breathing,,,Ventilatory control during sleep,voluntary control of breathing is lost during sleep,Sleep modulation,Sytemic,Sytemic,Minutes–hours,Sleep study,,,CO₂ response,,,,,,,,,Reticular–hypothalamic drive loss,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-83,8,,,,,,,,,
